"ACTION","AS_units...2","AS_COMPLETION","ROW_COMPLETION","skip","checked_for_duplicates","row_number","Source","Source DOI","author","author_doi","data_location","sample","notes","notes2","treatment_OLD","treatment","treatment_NOTES","treatment_level","latitude","longitude","lat_lon_notes","location","elevation_m","lyrtop_cm","lyrbot_cm","horizon","soil_type","ecosystem","wetland_type","aridity","plant_species","MAP(mm)","MAT(°)","Duration (year)","year_sampled","fraction_scheme","aggregate_size_OLD","aggregate_size","amino_sugars","AS_units...41","gluN","gluN_units","murA","murA_units","galN","galN_units","manN","manN_units","microbial_necromass_C","MNC_units","fungal_necromass_C","FNC_units","bacterial_necromass_C","BNC_units","bacterial_biomass_C","bbc_units","fungal_biomass_C","fbc_units","microbial_biomass_C","MBC-units","microbial_biomass_N","MBN-units","soc","SOC_units","soil_C","TC_units","soil_N","TN_units","soil C/N","pH","pH_method","clay","silt","sand","texture","bulk_density","Method","other_variables_available"
"checked?",,,,,,"2",,,,,,,,,"check",,,"check",,,,,,,,,,"checked","checked",,"checked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GET UNITS",,"GET UNITS",,"GET UNITS","CHECK UNITS",,"CHECK UNITS",,,,,,,,,,,
,,,,,"Y","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bulk vs. aggregate",,,,,"ug/g = mg/kg",,,,,,,,"mg/kg",,"mg/kg",,"mg/kg",,,"ug/g",,"ug/g","mg/kg soil",,"mg/kg soil",,,,"mg/g = g/kg",,"mg/g = g/kg",,,,,,,,,"gcm3",,
,,,,,,"3","STUDY",,,,,,,,"EXPERIMENTAL",,,,,,,,,,,,,,,,,,,,,,,,"AMINO SUGARS",,,,,,,,,,"NECROMASS",,,,,,"BIOMASS",,,,,,,,"SOIL",,,,,,,,,,,,,,,
"NO ACCESS",,"10","31",,,"3468","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"52.1","-102.92",,"CutKnife-Naicam, North American","512","0","10",,"Argic Cryoborolls","grassland",,,,"456","0.9",,,"bulk soil",,,"2728","mg/kg","1576","mg/kg","151","mg/kg","952","mg/kg","50","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"34.8","g/kg","3.25","g/kg","10.71",,,"23.40","19.4","57.2",,,,
,,"10","31",,,"3469","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"51.6","-104.41",,"Elstow, North American","580","0","10",,"Typic Cryoborolls","grassland",,,,"343","1.6",,,"bulk soil",,,"2263","mg/kg","1278","mg/kg","118","mg/kg","822","mg/kg","46","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"26.4","g/kg","2.5","g/kg","10.56",,,"18.80","19","62.2",,,,
,,"10","31",,,"3470","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"50.57","-106.27",,"Ardill, North American","244","0","10",,"Typic Cryoborolls","grassland",,,,"380","3.2",,,"bulk soil",,,"2437","mg/kg","1534","mg/kg","68","mg/kg","782","mg/kg","53","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"22.7","g/kg","2.4","g/kg","9.46",,,"16.90","25","58.1",,,,
,,"10","31",,,"3471","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"47.42","-94.74",,"Amor, North American","233","0","10",,"Typic Haoloborolls","grassland",,,,"419","5",,,"bulk soil",,,"1796","mg/kg","1161","mg/kg","44","mg/kg","555","mg/kg","36","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"16","g/kg","1.68","g/kg","9.52",,,"26.80","17.2","56",,,,
,,"10","31",,,"3472","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"47.28","-100.98",,"Joplin, North American","197","0","10",,"Aridic Argiborolls","grassland",,,,"300","6.1",,,"bulk soil",,,"1302","mg/kg","781","mg/kg","70","mg/kg","434","mg/kg","17","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"11.3","g/kg","1.31","g/kg","8.63",,,"25.10","20.7","54.2",,,,
,,"10","31",,,"3473","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"48.65","-108.73",,"Svea, North American","688","0","10",,"Pachic Udic Haploborolls","grassland",,,,"565","6.1",,,"bulk soil",,,"3030","mg/kg","1849","mg/kg","124","mg/kg","996","mg/kg","62","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"32.7","g/kg","2.94","g/kg","11.12",,,"40.30","24.8","34.9",,,,
,,"10","31",,,"3474","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"45.01","-106.78",,"Ulm, North American","33","0","10",,"Ustic Haplargids","grassland",,,,"400","7.2",,,"bulk soil",,,"1448","mg/kg","883","mg/kg","84","mg/kg","451","mg/kg","30","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"14.1","g/kg","1.43","g/kg","9.86",,,"38.20","32.8","29",,,,
,,"10","31",,,"3475","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"41.71","-104.37",,"Weld, North American","252","0","10",,"Aridic Paleustolls","grassland",,,,"375","10.8",,,"bulk soil",,,"871","mg/kg","576","mg/kg","19","mg/kg","264","mg/kg","13","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"7.7","g/kg","0.88","g/kg","8.75",,,"25.60","14.5","59.9",,,,
,,"10","31",,,"3476","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"41.29","-99.91",,"Sharpsburg, North American","154","0","10",,"Typic Argiudolls","grassland",,,,"792","10.9",,,"bulk soil",,,"2295","mg/kg","1494","mg/kg","56","mg/kg","709","mg/kg","35","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"19.7","g/kg","2.06","g/kg","9.56",,,"36.30","23.7","40",,,,
,,"10","31",,,"3477","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"41.52","-100.05",,"Holdrege, North American","28","0","10",,"Typic Argiustolls","grassland",,,,"666","11.6",,,"bulk soil",,,"1318","mg/kg","862","mg/kg","38","mg/kg","396","mg/kg","21","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"14","g/kg","1.41","g/kg","9.93",,,"21.50","21.7","56.8",,,,
,,"10","31",,,"3478","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"40.14","-96.98",,"Armo, North American","422","0","10",,"Entic Argiudolls","grassland",,,,"573","12.2",,,"bulk soil",,,"1544","mg/kg","901","mg/kg","52","mg/kg","546","mg/kg","45","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"15.6","g/kg","1.4","g/kg","11.14",,,"25.90","30.2","43.9",,,,
,,"10","31",,,"3479","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"41.44","-96.43",,"Reading, North American","357","0","10",,"Pachic Argiudolls","grassland",,,,"791","12.4",,,"bulk soil",,,"1389","mg/kg","886","mg/kg","60","mg/kg","396","mg/kg","47","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"15","g/kg","1.57","g/kg","9.55",,,"32.20","15.9","51.9",,,,
,,"10","31",,,"3480","Ni 2020","https://doi.org/10.1016/j.soilbio.2020.107762","Zhang et al. 1997","https://doi.org/10.1002/jpln.19971600503",,"N002",,,,,,,"38.37","-95.42",,"Parsons, North American","309","0","10",,"Mollic Albaqualfs","grassland",,,,"1000","14.2",,,"bulk soil",,,"1184","mg/kg","804","mg/kg","30","mg/kg","313","mg/kg","37","mg/kg",,,,,,,,,,,,"mg/kg",,"mg/kg",,,"10.1","g/kg","1.54","g/kg","6.56",,,"15.50","46.7","37.8",,,,
